# EUR/USD-Wochenkurse aus den offiziellen EZB-Referenzkursen (Euro foreign
# exchange reference rates, taeglich veroeffentlicht seit 1999). Wird NUR
# gelesen, von keinem Skript geschrieben - ueberlebt damit jeden Lauf von
# scripts/backfill_history.py, der price_history.csv komplett neu aufbaut.
#
# Zweck: Alpha Vantages FX_WEEKLY liefert USD/EUR erst ab 2014-11-21. Fuer
# alles davor bleiben die neun USD-Ticker und BTC-EUR sonst leer (#61) - der
# Backfill rechnet sie bewusst nicht mehr mit einem spaeteren Kurs um. Diese
# Datei schliesst genau diese Luecke, in TAEGLICHER Aufloesung, damit jeder
# Wochenschlusskurs mit dem Kurs SEINES Handelstags umgerechnet wird statt
# mit dem einer benachbarten Woche.
#
# Abdeckung: 2006-01-02 bis 2014-11-14 (2272 Handelstage), also bis einschliesslich
# ISO-KW 46/2014. Ab KW 47/2014 uebernimmt FX_WEEKLY - dort steht bewusst
# kein Eintrag, damit die API-Daten unangetastet bleiben.
#
# Spalten:
#   Date         ISO-Datum des EZB-Handelstags
#   EUR_pro_USD  Wie viele EUR ein USD kostet, also 1/(EUR/USD).
#                Die EZB veroeffentlicht USD je EUR - hier ist der Kehrwert
#                eingetragen, gerundet auf 6 Nachkommastellen.
#
# Quelle: European Central Bank, "Euro foreign exchange reference rates"
#   https://www.ecb.europa.eu/stats/eurofxref/eurofxref-hist.zip
# Erhoben am 2026-08-22 aus der in currencyconverter 0.18.21 (PyPI)
# gebuendelten Kopie dieser Datei, da der Direktabruf hier nicht moeglich war.
# Zur Kontrolle: 2008-07-15 = 1,5990 USD/EUR (historisches Hoch),
# 2011-05-04 = 1,4882, 2014-11-14 = 0.804117 EUR_pro_USD.
#
# Zeilen mit fuehrendem # werden uebersprungen.
Date,EUR_pro_USD
2007-01-24,0.768935
2007-01-25,0.770535
2007-01-26,0.775134
2007-01-29,0.773934
2007-01-30,0.770891
2007-01-31,0.771962
2007-02-01,0.768049
2007-02-02,0.768049
2007-02-05,0.773694
2007-02-06,0.771903
2007-02-07,0.770001
2007-02-08,0.769764
2007-02-09,0.768817
2007-02-12,0.771843
2007-02-13,0.767931
2007-02-14,0.764409
2007-02-15,0.761209
2007-02-16,0.762253
2007-02-19,0.761499
2007-02-20,0.760746
2007-02-21,0.760746
2007-02-22,0.763009
2007-02-23,0.761383
2007-02-26,0.759878
2007-02-27,0.755858
2007-02-28,0.756945
2007-03-01,0.756144
2007-03-02,0.759705
2007-03-05,0.764351
2007-03-06,0.763359
2007-03-07,0.761325
2007-03-08,0.760341
2007-03-09,0.760167
2007-03-12,0.760109
2007-03-13,0.756544
2007-03-14,0.758553
2007-03-15,0.756086
2007-03-16,0.750469
2007-03-19,0.751710
2007-03-20,0.752106
2007-03-21,0.752276
2007-03-22,0.749008
2007-03-23,0.750356
2007-03-26,0.753864
2007-03-27,0.749232
2007-03-28,0.749176
2007-03-29,0.748951
2007-03-30,0.750863
2007-04-02,0.748167
2007-04-03,0.748615
2007-04-04,0.748951
2007-04-05,0.747775
2007-04-10,0.744823
2007-04-11,0.745268
2007-04-12,0.742556
2007-04-13,0.738989
2007-04-16,0.738007
2007-04-17,0.738062
2007-04-18,0.736540
2007-04-19,0.735240
2007-04-20,0.734970
2007-04-23,0.737626
2007-04-24,0.736269
2007-04-25,0.732654
2007-04-26,0.735510
2007-04-27,0.732977
2007-04-30,0.735024
2007-05-02,0.735943
2007-05-03,0.734592
2007-05-04,0.737409
2007-05-07,0.734484
2007-05-08,0.737572
2007-05-09,0.738825
2007-05-10,0.739262
2007-05-11,0.741510
2007-05-14,0.738062
2007-05-15,0.738662
2007-05-16,0.736703
2007-05-17,0.739864
2007-05-18,0.742005
2007-05-21,0.743826
2007-05-22,0.743273
2007-05-23,0.741290
2007-05-24,0.743605
2007-05-25,0.743992
2007-05-28,0.743329
2007-05-29,0.740247
2007-05-30,0.745156
2007-05-31,0.743329
2007-06-01,0.744269
2007-06-04,0.741730
2007-06-05,0.738989
2007-06-06,0.740028
2007-06-07,0.742390
2007-06-08,0.749120
2007-06-11,0.748783
2007-06-12,0.749344
2007-06-13,0.752615
2007-06-14,0.751654
2007-06-15,0.751089
2007-06-18,0.746046
2007-06-19,0.746102
2007-06-20,0.744768
2007-06-21,0.746436
2007-06-22,0.743992
2007-06-25,0.742887
2007-06-26,0.742942
2007-06-27,0.744158
2007-06-28,0.742556
2007-06-29,0.740466
2007-07-02,0.735943
2007-07-03,0.735240
2007-07-04,0.734322
2007-07-05,0.733138
2007-07-06,0.735510
2007-07-09,0.734160
2007-07-10,0.731743
2007-07-11,0.727114
2007-07-12,0.725268
2007-07-13,0.725584
2007-07-16,0.725637
2007-07-17,0.726164
2007-07-18,0.725742
2007-07-19,0.723589
2007-07-20,0.724480
2007-07-23,0.723537
2007-07-24,0.722909
2007-07-25,0.727643
2007-07-26,0.728757
2007-07-27,0.732547
2007-07-30,0.732118
2007-07-31,0.729554
2007-08-01,0.731904
2007-08-02,0.731850
2007-08-03,0.730247
2007-08-06,0.723694
2007-08-07,0.724953
2007-08-08,0.724953
2007-08-09,0.728385
2007-08-10,0.732601
2007-08-13,0.732547
2007-08-14,0.735781
2007-08-15,0.742060
2007-08-16,0.745990
2007-08-17,0.743273
2007-08-20,0.742060
2007-08-21,0.740302
2007-08-22,0.741125
2007-08-23,0.736703
2007-08-24,0.734484
2007-08-27,0.732172
2007-08-28,0.731850
2007-08-29,0.733622
2007-08-30,0.734754
2007-08-31,0.729661
2007-09-03,0.733568
2007-09-04,0.736377
2007-09-05,0.735943
2007-09-06,0.731582
2007-09-07,0.730140
2007-09-10,0.724900
2007-09-11,0.723380
2007-09-12,0.720202
2007-09-13,0.719580
2007-09-14,0.721501
2007-09-17,0.720617
2007-09-18,0.721137
2007-09-19,0.715564
2007-09-20,0.712758
2007-09-21,0.711794
2007-09-24,0.708567
2007-09-25,0.708918
2007-09-26,0.707864
2007-09-27,0.705219
2007-09-28,0.705268
2007-10-01,0.702642
2007-10-02,0.705965
2007-10-03,0.704473
2007-10-04,0.708767
2007-10-05,0.707414
2007-10-08,0.709774
2007-10-09,0.712403
2007-10-10,0.706914
2007-10-11,0.704275
2007-10-12,0.705567
2007-10-15,0.702938
2007-10-16,0.706714
2007-10-17,0.704225
2007-10-18,0.699350
2007-10-19,0.699888
2007-10-22,0.705916
2007-10-23,0.701557
2007-10-24,0.702741
2007-10-25,0.698861
2007-10-26,0.695217
2007-10-29,0.694879
2007-10-30,0.694107
2007-10-31,0.692185
2007-11-01,0.693337
2007-11-02,0.690655
2007-11-05,0.690226
2007-11-06,0.687427
2007-11-07,0.679256
2007-11-08,0.681849
2007-11-09,0.681060
2007-11-12,0.685918
2007-11-13,0.684603
2007-11-14,0.680272
2007-11-15,0.683107
2007-11-16,0.682547
2007-11-19,0.682408
2007-11-20,0.676361
2007-11-21,0.675037
2007-11-22,0.674354
2007-11-23,0.675265
2007-11-26,0.673627
2007-11-27,0.672314
2007-11-28,0.678104
2007-11-29,0.678518
2007-11-30,0.677461
2007-12-03,0.681849
2007-12-04,0.678380
2007-12-05,0.679348
2007-12-06,0.687096
2007-12-07,0.682640
2007-12-10,0.679440
2007-12-11,0.681570
2007-12-12,0.681431
2007-12-13,0.681060
2007-12-14,0.689227
2007-12-17,0.694782
2007-12-18,0.693674
2007-12-19,0.695169
2007-12-20,0.696913
2007-12-21,0.695410
2007-12-24,0.694541
2007-12-27,0.688895
2007-12-28,0.680643
2007-12-31,0.679302
2008-01-02,0.680828
2008-01-03,0.677828
2008-01-04,0.679025
2008-01-07,0.679209
2008-01-08,0.680041
2008-01-09,0.681199
2008-01-10,0.682035
2008-01-11,0.676041
2008-01-14,0.671366
2008-01-15,0.671772
2008-01-16,0.676041
2008-01-17,0.680689
2008-01-18,0.681477
2008-01-21,0.690512
2008-01-22,0.689941
2008-01-23,0.686153
2008-01-24,0.681989
2008-01-25,0.680041
2008-01-28,0.677736
2008-01-29,0.676911
2008-01-30,0.675219
2008-01-31,0.672495
2008-02-01,0.671637
2008-02-04,0.674354
2008-02-05,0.680828
2008-02-06,0.683948
2008-02-07,0.686389
2008-02-08,0.689037
2008-02-11,0.687663
2008-02-12,0.687853
2008-02-13,0.685589
2008-02-14,0.683714
2008-02-15,0.681477
2008-02-18,0.683247
